,Symptom,weight
0,itching,1
1,skin_rash,3
2,nodal_skin_eruptions,4
3,continuous_sneezing,4
4,shivering,5
5,chills,3
6,joint_pain,3
7,stomach_pain,5
8,acidity,3
9,ulcers_on_tongue,4
10,muscle_wasting,3
11,vomiting,5
12,burning_micturition,6
13,spotting_urination,6
14,fatigue,4
15,weight_gain,3
16,anxiety,4
17,cold_hands_and_feets,5
18,mood_swings,3
19,weight_loss,3
20,restlessness,5
21,lethargy,2
22,patches_in_throat,6
23,irregular_sugar_level,5
24,cough,4
25,high_fever,7
26,sunken_eyes,3
27,breathlessness,4
28,sweating,3
29,dehydration,4
30,indigestion,5
31,headache,3
32,yellowish_skin,3
33,dark_urine,4
34,nausea,5
35,loss_of_appetite,4
36,pain_behind_the_eyes,4
37,back_pain,3
38,constipation,4
39,abdominal_pain,4
40,diarrhoea,6
41,mild_fever,5
42,yellow_urine,4
43,yellowing_of_eyes,4
44,acute_liver_failure,6
45,fluid_overload,6
46,swelling_of_stomach,7
47,swelled_lymph_nodes,6
48,malaise,6
49,blurred_and_distorted_vision,5
50,phlegm,5
51,throat_irritation,4
52,redness_of_eyes,5
53,sinus_pressure,4
54,runny_nose,5
55,congestion,5
56,chest_pain,7
57,weakness_in_limbs,7
58,fast_heart_rate,5
59,pain_during_bowel_movements,5
60,pain_in_anal_region,6
61,bloody_stool,5
62,irritation_in_anus,6
63,neck_pain,5
64,dizziness,4
65,cramps,4
66,bruising,4
67,obesity,4
68,swollen_legs,5
69,swollen_blood_vessels,5
70,puffy_face_and_eyes,5
71,enlarged_thyroid,6
72,brittle_nails,5
73,swollen_extremeties,5
74,excessive_hunger,4
75,extra_marital_contacts,5
76,drying_and_tingling_lips,4
77,slurred_speech,4
78,knee_pain,3
79,hip_joint_pain,2
80,muscle_weakness,2
81,stiff_neck,4
82,swelling_joints,5
83,movement_stiffness,5
84,spinning_movements,6
85,loss_of_balance,4
86,unsteadiness,4
87,weakness_of_one_body_side,4
88,loss_of_smell,3
89,bladder_discomfort,4
90,foul_smell_ofurine,5
91,continuous_feel_of_urine,6
92,passage_of_gases,5
93,internal_itching,4
94,toxic_look_(typhos),5
95,depression,3
96,irritability,2
97,muscle_pain,2
98,altered_sensorium,2
99,red_spots_over_body,3
100,belly_pain,4
101,abnormal_menstruation,6
102,dischromic_patches,6
103,watering_from_eyes,4
104,increased_appetite,5
105,polyuria,4
106,family_history,5
107,mucoid_sputum,4
108,rusty_sputum,4
109,lack_of_concentration,3
110,visual_disturbances,3
111,receiving_blood_transfusion,5
112,receiving_unsterile_injections,2
113,coma,7
114,stomach_bleeding,6
115,distention_of_abdomen,4
116,history_of_alcohol_consumption,5
117,fluid_overload,4
118,blood_in_sputum,5
119,prominent_veins_on_calf,6
120,palpitations,4
121,painful_walking,2
122,pus_filled_pimples,2
123,blackheads,2
124,scurring,2
125,skin_peeling,3
126,silver_like_dusting,2
127,small_dents_in_nails,2
128,inflammatory_nails,2
129,blister,4
130,red_sore_around_nose,2
131,yellow_crust_ooze,3
132,prognosis,5
